state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases
CT,,,state,2020-03-20,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
LA,,,state,2020-03-16,Childcare (K-12),start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
MI,,,state,2020-03-28,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
WA,,,state,2020-03-16,Entertainment,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
MO,,,state,2020-03-23,Food and Drink,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
ND,,,state,2020-03-20,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MS,Quitman,28119,county,2020-07-13,Manufacturing,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
GU,,,state,2020-03-20,Shelter in Place,start,State Policy Start,manual,
MA,,,state,2020-03-26,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
MT,,,state,2020-03-30,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NE,Thayer,31169,county,2020-04-03,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
UT,San Juan,49037,county,2020-06-12,Phase 2,start,"Policy_Details: The cities Mexican Hat and Bluff, both in San Juan county, have moved to Phase 2 or the ""yellow"" phase which is considered ""low risk""
The entirety of San Juan County is now in the yellow phase Phase Level: 2, Phase Details Source information: https://coronavirus.utah.gov/utahs-health-guidance-system/#map",sip_submission_form: https://coronavirus.utah.gov/utahs-health-guidance-system/#map,
CO,Denver,08031,county,2020-06-06,Phase 2,start,"Policy_Details: Jill Hunsaker Ryan announced that a new variance will be released in Denver County -The variance is limited only to the approval of the Denver Zoo opening with restrictions while the rest of Denver County remains under the Safer at Home public health order -Zoo may open with 300 ticket sales per hour -Employees and contracted workers shall be monitored daily for symptoms -Ensure adequate staffing to monitor visitor traffic and disallow groups larger than 10 from gathering at an exhibit Phase Level: 2, Phase Details Source information: https://covid19.colorado.gov/sites/covid19/files/documents/Denver%20Second%20Variance%20Decision.060620.pdf",sip_submission_form: https://covid19.colorado.gov/sites/covid19/files/documents/Denver%20Second%20Variance%20Decision.060620.pdf,
TX,Bexar,48029,county,2020-05-19,Non-Essential Businesses,start,"Policy_Details: On Tuesday, May 19, Bexar County Judge Nelson Wolff issued Executive Order NW-08 to supplement the existing Stay Home, Work Safe measures. These additional measures will take effect as of 12:01 a.m. on May 19 and continue through June 4, 2020 unless extended, modified or terminated early by the County Judge, and is consistent with Texas Governor Greg Abbott’s executive order and mandates issued by the City of San Antonio.   Source information: https://www.bexar.org/3234/COVID-19",sip_submission_form: https://www.bexar.org/3234/COVID-19,
WI,,,state,2020-03-25,Shelter in Place,start,"Stay at home, effective March 25 at 8 a.m. Gov. Tony Evers initially thought he would not have to issue such an order, but later changed his mind. “You can still get out and walk the dogs — it’s good exercise and it’s good for everyone’s mental health — but please don’t take any other unnecessary trips,"" he said. ""Limit your travel to essential needs like going to the doctor, grabbing groceries or getting medication.”",manual,
MA,,,state,2020-03-16,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
ND,LaMoure,38045,county,2020-09-03,Phase 5,start,"Policy_Details: - Most normal activity can resume, with standard precautions and awareness of health
guidelines such as routine hand washing, stay home when sick, cover your cough, education, stockpiling, planning, routine health alerts, etc. 
- Monitoring for illness and outbreaks will continue. 
- Those found to be ill will be asked to self-isolate and contacts will be asked to remain at home.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
NE,,,state,2020-04-03,Entertainment,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
RI,,,state,2020-03-18,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
KY,,,state,2020-03-23,Day Care,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
TX,Anderson County,48001,county,2020-04-02,Shelter in Place,start,Anderson County Policy Start,wikidata,
TX,Hardin County,48199,county,2020-03-27,Shelter in Place,start,Hardin County Policy Start,wikidata,
NC,Orange County,37135,county,2020-03-27,Shelter in Place,start,Orange County Policy Start,wikidata,
MI,Benzie,26019,county,2020-07-31,Entertainment,start,"Policy_Details: Region 6 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
UT,Emery,49015,county,2020-06-19,Phase 4,start,"Policy_Details: Emery County moves to Phase 4, or the green phase, on June 19 Phase Level: 4, Phase Details Source information: https://coronavirus.utah.gov/governor-issues-executive-order-moving-sections-of-rural-utah-to-green-health-risk-status/",sip_submission_form: https://coronavirus.utah.gov/governor-issues-executive-order-moving-sections-of-rural-utah-to-green-health-risk-status/,
OH,Lucas,39095,county,2020-07-17,Mask Requirement,start,Policy_Details: new counties upgraded to Red Alert Level 3 mandated to wear masks in public    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/19-red-alert-level-three-counties,sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/19-red-alert-level-three-counties,
MS,,,state,2020-08-05,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
CO,,,state,2020-03-17,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
FL,Gadsden County,12039,county,2020-03-27,Shelter in Place,start,Gadsden County Policy Start,wikidata,
OK,,,state,2020-04-01,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
ND,LaMoure,38045,county,2020-09-03,Non-Essential Businesses,start,"Policy_Details: Personal Services (i.e. Salon, Tattoo) & Retail
- Operate under heightened hygiene and cleaning standards.
- Monitor employees for symptoms.
- Resume to normal capacity of foodservice operations while continuing to follow new protocols.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
MA,,,state,2020-03-24,Non-Essential Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
AR,,,state,2020-04-10,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
NE,Hall,31079,county,2020-03-28,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
NY,Kings,36047,county,2020-06-08,New Phase,start,"Policy_Details: Construction Agriculture, Forestry, Fishing and Hunting Retail - (Limited to curbside or in-store pickup or drop off) Manufacturing Wholesale Trade Phase Level: 1, Phase Details Source information: https://forward.ny.gov/phase-one-industries",sip_submission_form: https://forward.ny.gov/phase-one-industries,
NM,,,state,2020-03-20,Allow Audio Only Telehealth,start,Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate,BU COVID-19 State Policy Database,
OH,,,state,2020-05-01,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
AK,,,state,2020-03-20,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
TX,Castro County,48069,county,2020-03-24,Shelter in Place,start,Castro County Policy Start,wikidata,
CA,Alameda,06001,county,2020-05-18,Manufacturing,start,"Policy_Details: Manufacturing: permitted to operate under the state Resilience Roadmap.

 Phase Level: 1, Phase Details Source information: http://www.acphd.org/media/577582/alameda-county-health-officer-order-20-11-english.pdf",sip_submission_form: http://www.acphd.org/media/577582/alameda-county-health-officer-order-20-11-english.pdf,
NY,Queens,36081,county,2020-06-08,Wholesale Trade,start,"Policy_Details: Construction
Agriculture, Forestry, Fishing and Hunting
Retail - (Limited to curbside or in-store pickup or drop off)
Manufacturing
Wholesale Trade Phase Level: 1, Phase Details Source information: https://forward.ny.gov/phase-one-industries",sip_submission_form: https://forward.ny.gov/phase-one-industries,
ID,,,state,2020-03-25,Non-Essential Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NY,,,state,2020-03-07,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open",BU COVID-19 State Policy Database,
TX,Andrews County,48003,county,2020-04-04,Shelter in Place,start,Andrews County Policy Start,wikidata,
WV,Jefferson County,54037,county,2020-04-06,Shelter in Place,start,Jefferson County Policy Start,wikidata,
IA,Dallas,19049,county,2020-08-27,Food and Drink,start,"Policy_Details: All bars, taverns, wineries, breweries, distilleries, night clubs to close.   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.08.27.pdf?utm_medium=email&utm_source=govdelivery",sip_submission_form: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.08.27.pdf?utm_medium=email&utm_source=govdelivery,
MS,Jefferson,28063,county,2020-07-13,Childcare (K-12),start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
TX,King,48269,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
DE,,,state,2020-03-16,Childcare (K-12),start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MD,,,state,2020-03-16,Childcare (K-12),start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
KS,,,state,2020-07-03,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NE,Sarpy,31153,county,2020-03-18,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
MS,,,state,2020-03-14,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
MD,,,state,2020-03-26,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
IL,Madison,17119,county,2020-08-18,Entertainment,start,"Policy_Details: meetings & social events are limited to 25 people or 25% room capacity (attendance lists must be kept for contact tracing, party buses are prohibited); gaming venues and casinos are limited to 25% capacity and must close at 11:00 pm.    Source information: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx",sip_submission_form: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx,
MI,Manistee,26101,county,2020-07-31,Outdoor and Recreation,start,"Policy_Details:  indoor swimming pools, arcades, bowling alleys, and climbing facilities in Region 6 open at 25% capacity or 250 people (whichever is smaller)   Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
TX,,,state,2020-03-19,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
OH,Lorain,39093,county,2020-07-10,Mask Requirement,start,"Policy_Details: face coverings required in any indoor location that is not a residence; when outdoors and unable to consistently maintain a distance of 6 ft. from individuals who are not members of the same household; or while waiting for, riding, driving, or operating public transportation, taxi, private car service, or ride-sharing vehicle    Source information: https://coronavirus.ohio.gov/static/publicorders/Addendum-Facial-Coverings.pdf",sip_submission_form: https://coronavirus.ohio.gov/static/publicorders/Addendum-Facial-Coverings.pdf,
CO,,,state,2020-03-20,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
GA,Fulton County,13121,county,2020-04-01,Shelter in Place,start,Fulton County Policy Start,wikidata,
MI,Marquette,26103,county,2020-07-31,Entertainment,start,"Policy_Details: Region 8 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
UT,,,state,2020-04-10,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NY,Kings,36047,county,2020-06-08,Non-Essential Businesses,start,"Policy_Details: Construction
Agriculture, Forestry, Fishing and Hunting
Retail - (Limited to curbside or in-store pickup or drop off)
Manufacturing
Wholesale Trade Phase Level: 1, Phase Details Source information: https://forward.ny.gov/phase-one-industries",sip_submission_form: https://forward.ny.gov/phase-one-industries,
NV,,,state,2020-03-17,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
TX,Throckmorton,48447,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
VT,,,state,2020-03-18,Childcare (K-12),start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
NM,,,state,2020-03-13,Nursing Homes,start,Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate,BU COVID-19 State Policy Database,
ME,Androscoggin,23001,county,2020-06-01,Food and Drink,start,"Policy_Details: restaurants in Androscoggin County tentatively scheduled to open for dine-in on June 1 (stage 2), now restricted to outdoor dining, take-away, & delivery only Phase Level: 2, Phase Details Source information: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27",sip_submission_form: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27,3
GA,,,state,2020-03-18,Childcare (K-12),start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
CO,,,state,2020-03-26,Shelter in Place,start,"Stay at home, effective March 26 at 6 a.m. A number of counties and cities in the state, including Denver and Boulder, had issued their own stay-at-home orders, but Gov. Jared Polis also issued a statewide order, reiterating the need for everyone to stay at home. “We owe it to ourselves and our fellow Americans in order to save lives,” he said.",manual,
CA,Kings County,06031,county,2020-03-31,Shelter in Place,start,Kings County Policy Start,wikidata,
TX,Rains,48379,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
WI,,,state,2020-08-01,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MO,Iron County,29093,county,2020-04-06,Shelter in Place,start,Iron County Policy Start,wikidata,
NC,Henderson County,37089,county,2020-03-28,Shelter in Place,start,Henderson County Policy Start,wikidata,
ME,,,state,2020-04-02,Shelter in Place,start,State Policy Start,wikidata,
MO,Jackson,29095,county,2020-10-09,Day Care,start,"Policy_Details: Children should be in small consistent groups of 20 or less. 
Limit volunteers and guests. 
Post a social distancing protocol at each entrance. 
Toys that cannot be cleaned/disinfected should not be used.
If child is sick, parent must keep them home   Source information: https://www.jacksongov.org/DocumentCenter/View/7129/Recovery-Plan-Phase-25-Updated-Oct-2-2020",sip_submission_form: https://www.jacksongov.org/DocumentCenter/View/7129/Recovery-Plan-Phase-25-Updated-Oct-2-2020,
ND,Barnes,38003,county,2020-09-03,Childcare (K-12),start,"Policy_Details: - Enhanced cleaning and distancing protocols. 
- No symptomatic employees or children. 
- Congregate areas are closed. 
- Stagger arrival and drop off times. 
- Protocols for classroom/learning space occupancy that allow for separation among students and staff throughout the day to the maximum extent feasible
- Masks annd social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
HI,,,state,2020-03-26,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MO,Dade County,29057,county,2020-04-02,Shelter in Place,start,Dade County Policy Start,wikidata,
MN,,,state,2020-03-27,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
KY,,,state,2020-05-11,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
MI,Alpena,26007,county,2020-07-31,Outdoor and Recreation,start,"Policy_Details:  indoor swimming pools, arcades, bowling alleys, and climbing facilities in Region 6 open at 25% capacity or 250 people (whichever is smaller)   Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
MO,,,state,2020-03-26,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
UT,,,state,2020-03-27,Shelter in Place,start,"Summit County. Stay at home, effective March 27 at 12:01 a.m.",manual,
NC,Mecklenburg County,37119,county,2020-03-26,Shelter in Place,start,Mecklenburg County Policy Start,wikidata,
ND,Pierce,38069,county,2020-09-03,Childcare (K-12),start,"Policy_Details: - Operate under heightened hygiene & cleaning standards.
- Monitor children and employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
GA,,,state,2020-04-03,Entertainment,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
FL,,,state,2020-05-08,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
AZ,,,state,2020-03-23,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
VA,,,state,2020-05-29,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
TX,Callahan County,48059,county,2020-04-08,Shelter in Place,start,Callahan County Policy Start,wikidata,
MI,Charlevoix,26029,county,2020-07-31,Entertainment,start,"Policy_Details: Region 6 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
ID,,,state,2020-03-25,Entertainment,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
CA,Sonoma County,06097,county,2020-03-18,Shelter in Place,start,Sonoma County Policy Start,wikidata,
TX,Roberts,48393,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
KY,,,state,2020-04-01,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
GA,,,state,2020-03-18,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
GA,Douglas County,13097,county,2020-03-26,Shelter in Place,start,Douglas County Policy Start,wikidata,
TX,Mills,48333,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
AL,,,state,2020-03-13,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
TX,Comal County,48091,county,2020-04-03,Shelter in Place,start,Comal County Policy Start,wikidata,
MI,Schoolcraft,26153,county,2020-07-31,Outdoor and Recreation,start,"Policy_Details:  indoor swimming pools, arcades, bowling alleys, and climbing facilities in Region 8 open at 25% capacity or 250 people (whichever is smaller)   Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
CO,San Miguel County,08113,county,2020-03-19,Shelter in Place,start,San Miguel County Policy Start,wikidata,
MI,Alger,26003,county,2020-07-31,Entertainment,start,"Policy_Details: Region 8 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
MS,Washington,28151,county,2020-07-13,Childcare (K-12),start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
LA,,,state,2020-04-27,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
TX,Lynn,48305,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
MN,,,state,2020-03-24,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MS,Harrison,28047,county,2020-07-13,Entertainment,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
